id;endereco;nome;telefone;categoria;nota_media;localizacao;lat;long;imagem;imagem_content_type;preco_filter;place_id
1;Berkshire markets Berkshire;Forward Buckinghamshire Gloves;AGP;New;32070;robust;77103;73242;../fake-data/blob/hipster.png;image/png;50867;Officer Security Agent
2;PCI;Shoes payment;Fresh dynamic green;transform Pants Principal;89811;eyeballs;14378;48360;../fake-data/blob/hipster.png;image/png;34495;circuit Taka
3;Steel Metal deposit;Ports Berkshire;Executive;Games Fork;894;help-desk;77457;45019;../fake-data/blob/hipster.png;image/png;3606;frictionless haptic actuating
4;Avenue hybrid Tactics;Soft moderator Cotton;didactic bypassing generate;Lead;32013;extend Bedfordshire;28196;76382;../fake-data/blob/hipster.png;image/png;91837;Shirt Baby Toys
5;Customer Mouse;Personal Franc Pants;Secured Frozen;Savings Soft Nevada;77103;Corporate;46852;34664;../fake-data/blob/hipster.png;image/png;14534;azure
6;Customer;Guinea-Bissau TCP;Tasty;Montana;53377;one-to-one indigo whiteboard;17987;66030;../fake-data/blob/hipster.png;image/png;24911;Lucia green
7;withdrawal;Gloves;Gorgeous analyzer Village;up Practical up;23129;24/365;17721;81453;../fake-data/blob/hipster.png;image/png;88852;Awesome Mississippi
8;Marks;Specialist Account hardware;cross-platform;Avon Awesome discrete;44002;hierarchy primary;23657;51209;../fake-data/blob/hipster.png;image/png;17583;Keys
9;JBOD Plastic;disintermediate;evolve;programming Guinea;53113;Salad Optimization Buckinghamshire;98396;39027;../fake-data/blob/hipster.png;image/png;92221;Pizza Helena
10;SQL FTP Chips;Dynamic portal extensible;generating Iowa District;Global;2387;unleash Loan Bike;5714;88092;../fake-data/blob/hipster.png;image/png;19522;lavender
